"odata.type","ID","Position","ParentID","Type","Key","Title","Description","Datatype","Unit","Decimals","Default"
"Cbs.OData.Dimension",0,0,,"Dimension","Woonplaatsen","Woonplaatsen","",,,,
"Cbs.OData.Topic",1,1,,"Topic","Woonplaatscode_1","Woonplaatscode","Tot de woonplaatsen in Nederland zijn gerekend de zogenaamde BAG-woonplaatsen, die door gemeenten bij introductie van de BAG (Basisregistratie Adressen en Gebouwen), of daarna, formeel bij woonplaatsbesluit zijn vastgesteld.
De lijst van BAG-woonplaatsen bevat naast de naam van de woonplaats, de gemeente, de provincie en het landsdeel waartoe de woonplaats behoort en een uniek nummer (de woonplaatscode per 1 januari 2017).
Alleen woonplaatsen die volgens het BAG-extract van 8 februari 2017 bestonden op 1 januari 2017, zijn opgenomen.

","String","Code",0,"Missing"
"Cbs.OData.TopicGroup",2,,,"TopicGroup","","Gemeente","De gemeentelijke indeling heeft betrekking op de bestuurlijke indeling op 1 januari 2017. De gemeente is de kleinste lokale bestuurseenheid, vastgesteld door de Staten-Generaal. 
De namen van gemeenten zijn dan ook -in tegenstelling tot woonplaatsnamen- formeel bij wet vastgelegd.

",,,,
"Cbs.OData.Topic",3,2,2,"Topic","Naam_2","Naam ",,"String","Naam",0,"Missing"
"Cbs.OData.Topic",4,3,2,"Topic","Code_3","Code ",,"String","Code",0,"Missing"
"Cbs.OData.TopicGroup",5,,,"TopicGroup","","Provincie","Bestuurlijke onderverdeling van het Nederlands grondgebied. Nederland telt 12 provincies.",,,,
"Cbs.OData.Topic",6,4,5,"Topic","Naam_4","Naam",,"String","Naam",0,"Missing"
"Cbs.OData.Topic",7,5,5,"Topic","Code_5","Code",,"String","Code",0,"Missing"
"Cbs.OData.TopicGroup",8,,,"TopicGroup","","Landsdeel","Regionale groepering van provincies. Nederland telt 4 landsdelen.

Noord-Nederland: Groningen, Friesland, Drenthe
Oost-Nederland: Overijssel, Flevoland, Gelderland
West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland
Zuid-Nederland: Noord-Brabant, Limburg
",,,,
"Cbs.OData.Topic",9,6,8,"Topic","Naam_6","Naam",,"String","Naam",0,"Missing"
"Cbs.OData.Topic",10,7,8,"Topic","Code_7","Code",,"String","Code",0,"Missing"
