"Key","Title","Description","Municipality","DetailRegionCode"
"NL00      ","Nederland",,"",""
"GM1680    ","Aa en Hunze",,"GM1680","GM1680"
"WK168000  ","Wijk 00 Annen",,"GM1680","WK168000"
"BU16800000","Annen",,"GM1680","BU16800000"
"BU16800009","Verspreide huizen Annen",,"GM1680","BU16800009"
"WK168001  ","Wijk 01 Eext",,"GM1680","WK168001"
"BU16800100","Eext",,"GM1680","BU16800100"
"BU16800109","Verspreide huizen Eext",,"GM1680","BU16800109"
"WK168002  ","Wijk 02 Anloo",,"GM1680","WK168002"
"BU16800200","Anloo",,"GM1680","BU16800200"
"BU16800209","Verspreide huizen Anloo",,"GM1680","BU16800209"
"WK168003  ","Wijk 03 Gasteren",,"GM1680","WK168003"
"BU16800300","Gasteren",,"GM1680","BU16800300"
"BU16800309","Verspreide huizen Gasteren",,"GM1680","BU16800309"
"WK168004  ","Wijk 04 Anderen",,"GM1680","WK168004"
"BU16800400","Anderen",,"GM1680","BU16800400"
"BU16800409","Verspreide huizen Anderen",,"GM1680","BU16800409"
"WK168005  ","Wijk 05 Schipborg",,"GM1680","WK168005"
"BU16800500","Schipborg",,"GM1680","BU16800500"
"BU16800509","Verspreide huizen Schipborg",,"GM1680","BU16800509"
"WK168006  ","Wijk 06 Eexterveen",,"GM1680","WK168006"
"BU16800600","Eexterveen",,"GM1680","BU16800600"
"BU16800609","Verspreide huizen Eexterveen",,"GM1680","BU16800609"
"WK168007  ","Wijk 07 Spijkerboor",,"GM1680","WK168007"
"BU16800700","Spijkerboor",,"GM1680","BU16800700"
"BU16800709","Verspreide huizen Spijkerboor",,"GM1680","BU16800709"
"WK168008  ","Wijk 08 Nieuw-Annerveen",,"GM1680","WK168008"
"BU16800800","Nieuw-Annerveen",,"GM1680","BU16800800"
"BU16800809","Verspreide huizen Nieuw-Annerveen",,"GM1680","BU16800809"
"WK168009  ","Wijk 09 Oud-Annerveen",,"GM1680","WK168009"
"BU16800900","Oud-Annerveen",,"GM1680","BU16800900"
"BU16800909","Verspreide huizen Oud-Annerveen",,"GM1680","BU16800909"
"WK168011  ","Wijk 11 Annerveenschekanaal",,"GM1680","WK168011"
"BU16801100","Annerveenschekanaal",,"GM1680","BU16801100"
"BU16801109","Verspreide huizen Annerveenschekanaal",,"GM1680","BU16801109"
"WK168012  ","Wijk 12 Eexterveenschekanaal",,"GM1680","WK168012"
"BU16801200","Eexterveenschekanaal",,"GM1680","BU16801200"
"BU16801209","Verspreide huizen Eexterveenschekanaal",,"GM1680","BU16801209"
"WK168013  ","Wijk 13 Eexterzandvoort",,"GM1680","WK168013"
"BU16801300","Eexterzandvoort",,"GM1680","BU16801300"
"BU16801309","Verspreide huizen Eexterzandvoort",,"GM1680","BU16801309"
"WK168014  ","Wijk 14 Gasselte",,"GM1680","WK168014"
"BU16801400","Gasselte",,"GM1680","BU16801400"
"BU16801401","Kostvlies",,"GM1680","BU16801401"
"BU16801409","Verspreide huizen Gasselte",,"GM1680","BU16801409"
"WK168015  ","Wijk 15 Gasselternijveen",,"GM1680","WK168015"
"BU16801500","Gasselternijveen",,"GM1680","BU16801500"
"BU16801501","Gasselterboerveen",,"GM1680","BU16801501"
"BU16801509","Verspreide huizen Gasselternijveen",,"GM1680","BU16801509"
"WK168016  ","Wijk 16 Gasselternijveenschemond",,"GM1680","WK168016"
"BU16801600","Gasselternijveenschemond",,"GM1680","BU16801600"
"BU16801601","Gasselterboerveenschemond",,"GM1680","BU16801601"
"BU16801609","Verspr.h. Gasselternijveenschemond","Verspreide huizen Gasselternijveenschemond","GM1680","BU16801609"
"WK168017  ","Wijk 17 Gieten",,"GM1680","WK168017"
"BU16801700","Gieten",,"GM1680","BU16801700"
"BU16801709","Verspreide huizen Gieten",,"GM1680","BU16801709"
"WK168018  ","Wijk 18 Gieterveen",,"GM1680","WK168018"
"BU16801800","Gieterveen",,"GM1680","BU16801800"
"BU16801801","Bonnerveen",,"GM1680","BU16801801"
"BU16801802","Nieuwediep",,"GM1680","BU16801802"
"BU16801809","Verspreide huizen Gieterveen",,"GM1680","BU16801809"
"WK168019  ","Wijk 19 Rolde",,"GM1680","WK168019"
"BU16801900","Rolde",,"GM1680","BU16801900"
"BU16801901","Ballo",,"GM1680","BU16801901"
"BU16801902","Nijlande",,"GM1680","BU16801902"
"BU16801903","Deurze",,"GM1680","BU16801903"
"BU16801908","Verspreide huizen Nooitgedacht",,"GM1680","BU16801908"
"BU16801909","Verspreide huizen Rolde",,"GM1680","BU16801909"
"WK168020  ","Wijk 20 Grolloo",,"GM1680","WK168020"
"BU16802000","Grolloo",,"GM1680","BU16802000"
"BU16802001","Schoonloo",,"GM1680","BU16802001"
"BU16802008","Verspreide huizen Papenvoort",,"GM1680","BU16802008"
"BU16802009","Verspreide huizen Grolloo",,"GM1680","BU16802009"
"WK168021  ","Wijk 21 Ekehaar",,"GM1680","WK168021"
"BU16802100","Ekehaar",,"GM1680","BU16802100"
"BU16802101","Amen",,"GM1680","BU16802101"
"BU16802109","Verspreide huizen Ekehaar",,"GM1680","BU16802109"
"GM0738    ","Aalburg",,"GM0738","GM0738"
"WK073800  ","Wijk 00 Wijk en Aalburg",,"GM0738","WK073800"
"BU07380000","Wijk en Aalburg",,"GM0738","BU07380000"
"BU07380001","Spijk",,"GM0738","BU07380001"
"BU07380009","Verspreide huizen Wijk en Aalburg",,"GM0738","BU07380009"
"WK073801  ","Wijk 01 Veen",,"GM0738","WK073801"
"BU07380100","Veen",,"GM0738","BU07380100"
"BU07380109","Verspreide huizen Veen",,"GM0738","BU07380109"
"WK073802  ","Wijk 02 Genderen",,"GM0738","WK073802"
"BU07380200","Genderen",,"GM0738","BU07380200"
"BU07380209","Verspreide huizen Genderen",,"GM0738","BU07380209"
"WK073803  ","Wijk 03 Eethen",,"GM0738","WK073803"
"BU07380300","Eethen",,"GM0738","BU07380300"
"BU07380309","Verspreide huizen Eethen",,"GM0738","BU07380309"
"WK073804  ","Wijk 04 Meeuwen",,"GM0738","WK073804"
"BU07380400","Meeuwen",,"GM0738","BU07380400"
"BU07380409","Verspreide huizen Meeuwen",,"GM0738","BU07380409"
"WK073805  ","Wijk 05 Drongelen",,"GM0738","WK073805"
"BU07380500","Drongelen",,"GM0738","BU07380500"
"BU07380509","Verspreide huizen Drongelen",,"GM0738","BU07380509"
"WK073806  ","Wijk 06 Babyloniënbroek",,"GM0738","WK073806"
"BU07380600","Babyloniënbroek",,"GM0738","BU07380600"
"BU07380609","Verspreide huizen Babyloniënbroek",,"GM0738","BU07380609"
"GM0358    ","Aalsmeer",,"GM0358","GM0358"
"WK035800  ","Wijk 00 Aalsmeer",,"GM0358","WK035800"
"BU03580000","Centrum",,"GM0358","BU03580000"
"BU03580001","Stommeer",,"GM0358","BU03580001"
"BU03580004","Hornmeer",,"GM0358","BU03580004"
"BU03580005","Uiterweg",,"GM0358","BU03580005"
"WK035801  ","Wijk 01 Kudelstraat en Kalslagen",,"GM0358","WK035801"
"BU03580100","Kudelstaart",,"GM0358","BU03580100"
"WK035802  ","Wijk 02 Oosteinde",,"GM0358","WK035802"
"BU03580200","Bovenlanden",,"GM0358","BU03580200"
"BU03580201","Greenpark",,"GM0358","BU03580201"
"BU03580205","Oosteinde",,"GM0358","BU03580205"
"BU03580206","Schinkelpolder",,"GM0358","BU03580206"
"GM0197    ","Aalten",,"GM0197","GM0197"
"WK019701  ","Wijk 01 Buitengebied Aalten",,"GM0197","WK019701"
"BU01970101","Barlo-Kern",,"GM0197","BU01970101"
"BU01970102","Verspreide huizen Barlo",,"GM0197","BU01970102"
"BU01970103","Verspreide huizen Heurne",,"GM0197","BU01970103"
"BU01970104","Verspreide huizen IJzerlo",,"GM0197","BU01970104"
"BU01970105","IJzerlo-kern",,"GM0197","BU01970105"
"BU01970106","Lintelo-kern",,"GM0197","BU01970106"
"BU01970107","Verspreide huizen ten westen van Aalten",,"GM0197","BU01970107"
"BU01970108","Verspreide huizen Lintelo",,"GM0197","BU01970108"
"BU01970109","Verspreide huizen Dalese Veld",,"GM0197","BU01970109"
"BU01970110","Verspreide huizen Dale",,"GM0197","BU01970110"
"BU01970111","Verspreide huizen Haart",,"GM0197","BU01970111"
"BU01970112","Haart-kern",,"GM0197","BU01970112"
"WK019702  ","Wijk 02 Bredevoort",,"GM0197","WK019702"
"BU01970201","Verspreide huizen Bredevoort",,"GM0197","BU01970201"
"BU01970202","Verspreide huizen Hollenberg",,"GM0197","BU01970202"
"BU01970203","Verspreide huizen Het Zwanenbroek",,"GM0197","BU01970203"
"BU01970204","Bredevoort",,"GM0197","BU01970204"
"WK019703  ","Wijk 03 Aalten Kern",,"GM0197","WK019703"
"BU01970301","Aalten-kern West",,"GM0197","BU01970301"
"BU01970302","Aalten-kern Zuid 1",,"GM0197","BU01970302"
"BU01970303","Aalten-kern Zuid 2",,"GM0197","BU01970303"
"BU01970304","Aalten-kern Noord/Noordoost",,"GM0197","BU01970304"
"BU01970305","Aalten Kern 't Kobus",,"GM0197","BU01970305"
"BU01970306","Aalten-kern Oost",,"GM0197","BU01970306"
"BU01970307","Aalten-kern Centrum",,"GM0197","BU01970307"
"WK019704  ","Wijk 04 Dinxperlo",,"GM0197","WK019704"
"BU01970400","Dinxperlo Centrum/Oost",,"GM0197","BU01970400"
"BU01970401","Dinxperlo Noord",,"GM0197","BU01970401"
"BU01970402","Dinxperlo West",,"GM0197","BU01970402"
"BU01970403","De Heurne-kern",,"GM0197","BU01970403"
"BU01970408","Verspreide huizen Dinxperlo",,"GM0197","BU01970408"
"BU01970409","Verspreide huizen De Heurne",,"GM0197","BU01970409"
"GM0059    ","Achtkarspelen",,"GM0059","GM0059"
"WK005900  ","Wijk 00 Noord",,"GM0059","WK005900"
"BU00590000","Buitenpost",,"GM0059","BU00590000"
"BU00590001","Twijzel",,"GM0059","BU00590001"
"BU00590002","Kootstertille",,"GM0059","BU00590002"
"BU00590003","Twijzelerheide",,"GM0059","BU00590003"
"BU00590004","Gerkesklooster",,"GM0059","BU00590004"
"BU00590005","Verspreide huizen Buitenpost",,"GM0059","BU00590005"
"BU00590006","Verspreide huizen Twijzel",,"GM0059","BU00590006"
"BU00590007","Verspreide huizen Kootstertille",,"GM0059","BU00590007"
"BU00590008","Verspreide huizen Twijzelerheide",,"GM0059","BU00590008"
