"Key","Title","Description","Status"
"1995KW01","1995 1st quarter","","Definitief"
"1995KW02","1995 2nd quarter","","Definitief"
"1995KW03","1995 3rd quarter","","Definitief"
"1995KW04","1995 4th quarter","","Definitief"
"1995JJ00","1995","","Definitief"
"1996KW01","1996 1st quarter","","Definitief"
"1996KW02","1996 2nd quarter","","Definitief"
"1996KW03","1996 3rd quarter","","Definitief"
"1996KW04","1996 4th quarter","","Definitief"
"1996JJ00","1996","","Definitief"
"1997KW01","1997 1st quarter","","Definitief"
"1997KW02","1997 2nd quarter","","Definitief"
"1997KW03","1997 3rd quarter","","Definitief"
"1997KW04","1997 4th quarter","","Definitief"
"1997JJ00","1997","","Definitief"
"1998KW01","1998 1st quarter","","Definitief"
"1998KW02","1998 2nd quarter","","Definitief"
"1998KW03","1998 3rd quarter","","Definitief"
"1998KW04","1998 4th quarter","","Definitief"
"1998JJ00","1998","","Definitief"
"1999KW01","1999 1st quarter","","Definitief"
"1999KW02","1999 2nd quarter","","Definitief"
"1999KW03","1999 3rd quarter","","Definitief"
"1999KW04","1999 4th quarter","","Definitief"
"1999JJ00","1999","","Definitief"
"2000KW01","2000 1st quarter","","Definitief"
"2000KW02","2000 2nd quarter","","Definitief"
"2000KW03","2000 3rd quarter","","Definitief"
"2000KW04","2000 4th quarter","","Definitief"
"2000JJ00","2000","","Definitief"
"2001KW01","2001 1st quarter","","Definitief"
"2001KW02","2001 2nd quarter","","Definitief"
"2001KW03","2001 3rd quarter","","Definitief"
"2001KW04","2001 4th quarter","","Definitief"
"2001JJ00","2001","","Definitief"
"2002KW01","2002 1st quarter","","Definitief"
"2002KW02","2002 2nd quarter","","Definitief"
"2002KW03","2002 3rd quarter","","Definitief"
"2002KW04","2002 4th quarter","","Definitief"
"2002JJ00","2002","","Definitief"
"2003KW01","2003 1st quarter","","Definitief"
"2003KW02","2003 2nd quarter","","Definitief"
"2003KW03","2003 3rd quarter","","Definitief"
"2003KW04","2003 4th quarter","","Definitief"
"2003JJ00","2003","","Definitief"
"2004KW01","2004 1st quarter","","Definitief"
"2004KW02","2004 2nd quarter","","Definitief"
"2004KW03","2004 3rd quarter","","Definitief"
"2004KW04","2004 4th quarter","","Definitief"
"2004JJ00","2004","","Definitief"
"2005KW01","2005 1st quarter","","Definitief"
"2005KW02","2005 2nd quarter","","Definitief"
"2005KW03","2005 3rd quarter","","Definitief"
"2005KW04","2005 4th quarter","","Definitief"
"2005JJ00","2005","","Definitief"
"2006KW01","2006 1st quarter","","Definitief"
"2006KW02","2006 2nd quarter","","Definitief"
"2006KW03","2006 3rd quarter","","Definitief"
"2006KW04","2006 4th quarter","","Definitief"
"2006JJ00","2006","","Definitief"
"2007KW01","2007 1st quarter","","Definitief"
"2007KW02","2007 2nd quarter","","Definitief"
"2007KW03","2007 3rd quarter","","Definitief"
"2007KW04","2007 4th quarter","","Definitief"
"2007JJ00","2007","","Definitief"
"2008KW01","2008 1st quarter","","Definitief"
"2008KW02","2008 2nd quarter","","Definitief"
"2008KW03","2008 3rd quarter","","Definitief"
"2008KW04","2008 4th quarter","","Definitief"
"2008JJ00","2008","","Definitief"
"2009KW01","2009 1st quarter","","Definitief"
"2009KW02","2009 2nd quarter","","Definitief"
"2009KW03","2009 3rd quarter","","Definitief"
"2009KW04","2009 4th quarter","","Definitief"
"2009JJ00","2009","","Definitief"
"2010KW01","2010 1st quarter","","Definitief"
"2010KW02","2010 2nd quarter","","Definitief"
"2010KW03","2010 3rd quarter","","Definitief"
"2010KW04","2010 4th quarter","","Definitief"
"2010JJ00","2010","","Definitief"
"2011KW01","2011 1st quarter","","Definitief"
"2011KW02","2011 2nd quarter","","Definitief"
"2011KW03","2011 3rd quarter","","Definitief"
"2011KW04","2011 4th quarter","","Definitief"
"2011JJ00","2011","","Definitief"
"2012KW01","2012 1st quarter","","Definitief"
"2012KW02","2012 2nd quarter","","Definitief"
"2012KW03","2012 3rd quarter","","Definitief"
"2012KW04","2012 4th quarter","","Definitief"
"2012JJ00","2012","","Definitief"
"2013KW01","2013 1st quarter","","Definitief"
"2013KW02","2013 2nd quarter","","Definitief"
"2013KW03","2013 3rd quarter","","Definitief"
"2013KW04","2013 4th quarter","","Definitief"
"2013JJ00","2013","","Definitief"
"2014KW01","2014 1st quarter","","Definitief"
"2014KW02","2014 2nd quarter","","Definitief"
"2014KW03","2014 3rd quarter","","Definitief"
"2014KW04","2014 4th quarter","","Definitief"
"2014JJ00","2014","","Definitief"
"2015KW01","2015 1st quarter","","Definitief"
"2015KW02","2015 2nd quarter","","Definitief"
"2015KW03","2015 3rd quarter","","Definitief"
"2015KW04","2015 4th quarter","","Definitief"
"2015JJ00","2015","","Definitief"
"2016KW01","2016 1st quarter","","Definitief"
"2016KW02","2016 2nd quarter","","Definitief"
"2016KW03","2016 3rd quarter","","Definitief"
"2016KW04","2016 4th quarter","","Definitief"
"2016JJ00","2016","","Definitief"
"2017KW01","2017 1st quarter","","Definitief"
"2017KW02","2017 2nd quarter","","Definitief"
"2017KW03","2017 3rd quarter","","Definitief"
"2017KW04","2017 4th quarter","","Definitief"
"2017JJ00","2017","","Definitief"
"2018KW01","2018 1st quarter","","Definitief"
"2018KW02","2018 2nd quarter","","Definitief"
"2018KW03","2018 3rd quarter","","Definitief"
"2018KW04","2018 4th quarter","","Definitief"
"2018JJ00","2018","","Definitief"
"2019KW01","2019 1st quarter","","Definitief"
"2019KW02","2019 2nd quarter","","Definitief"
"2019KW03","2019 3rd quarter","","Definitief"
"2019KW04","2019 4th quarter","","Definitief"
"2019JJ00","2019","","Definitief"
"2020KW01","2020 1st quarter","","Definitief"
"2020KW02","2020 2nd quarter","","Definitief"
"2020KW03","2020 3rd quarter","","Definitief"
"2020KW04","2020 4th quarter","","Definitief"
"2020JJ00","2020","","Definitief"
